Jurisdiction,Year,Fuel,Unit,Quantity
AUS,2015,Bioenergy,GWh,3677.636
AUS,2015,Black coal,GWh,111654.64
AUS,2015,Brown coal,GWh,50547.866
AUS,2015,Geothermal,GWh,0.426
AUS,2015,Hydro,GWh,14207.568
AUS,2015,Large-scale solar PV,GWh,283.51
AUS,2015,Natural gas,GWh,49705.56
AUS,2015,Oil products,GWh,6162.17
AUS,2015,Small-scale solar PV,GWh,5912.014
AUS,2015,Total,GWh,253984.422
AUS,2015,Total non-renewable,GWh,218070.235
AUS,2015,Total renewable,GWh,35914.187
AUS,2015,Wind,GWh,11833.002
AUS,2016,Bioenergy,GWh,3627.154
AUS,2016,Black coal,GWh,115365.652
AUS,2016,Brown coal,GWh,46990.855
AUS,2016,Geothermal,GWh,0.358
AUS,2016,Hydro,GWh,17926.422
AUS,2016,Large-scale solar PV,GWh,593.913
AUS,2016,Natural gas,GWh,48110.499
AUS,2016,Oil products,GWh,5718.235
AUS,2016,Small-scale solar PV,GWh,6845.862
AUS,2016,Total,GWh,258218.686
AUS,2016,Total non-renewable,GWh,216185.241
AUS,2016,Total renewable,GWh,42033.446
AUS,2016,Wind,GWh,13039.705
AUS,2017,Bioenergy,GWh,3561.433
AUS,2017,Black coal,GWh,120892.005
AUS,2017,Brown coal,GWh,38276.668
AUS,2017,Geothermal,GWh,0.251
AUS,2017,Hydro,GWh,13747.718
AUS,2017,Large-scale solar PV,GWh,838.93
AUS,2017,Natural gas,GWh,55087.772
AUS,2017,Oil products,GWh,5272.836
AUS,2017,Small-scale solar PV,GWh,8078.627
AUS,2017,Total,GWh,258967.059
AUS,2017,Total non-renewable,GWh,219529.281
AUS,2017,Total renewable,GWh,39437.778
AUS,2017,Wind,GWh,13210.79
AUS,2018,Bioenergy,GWh,3588.149
AUS,2018,Black coal,GWh,120594.135
AUS,2018,Brown coal,GWh,35961.409
AUS,2018,Geothermal,GWh,
AUS,2018,Hydro,GWh,17528.331
AUS,2018,Large-scale solar PV,GWh,2402.624
AUS,2018,Natural gas,GWh,51464.722
AUS,2018,Oil products,GWh,4901.194
AUS,2018,Small-scale solar PV,GWh,9929.921
AUS,2018,Total,GWh,262632.469
AUS,2018,Total non-renewable,GWh,212921.46
AUS,2018,Total renewable,GWh,49711.009
AUS,2018,Wind,GWh,16261.954
AUS,2019,Bioenergy,GWh,3467.726
AUS,2019,Black coal,GWh,116618.694
AUS,2019,Brown coal,GWh,33221.917
AUS,2019,Geothermal,GWh,
AUS,2019,Hydro,GWh,14385.776
AUS,2019,Large-scale solar PV,GWh,5964.995
AUS,2019,Natural gas,GWh,55710.585
AUS,2019,Oil products,GWh,4727.208
AUS,2019,Small-scale solar PV,GWh,12331.992
AUS,2019,Total,GWh,265900.611
AUS,2019,Total non-renewable,GWh,210278.405
AUS,2019,Total renewable,GWh,55622.207
AUS,2019,Wind,GWh,19471.688
AUS,2020,Bioenergy,GWh,3410.424
AUS,2020,Black coal,GWh,108740.854
AUS,2020,Brown coal,GWh,34194.094
AUS,2020,Geothermal,GWh,
AUS,2020,Hydro,GWh,14806.551
AUS,2020,Large-scale solar PV,GWh,8123.379
AUS,2020,Natural gas,GWh,53124.304
AUS,2020,Oil products,GWh,4506.367
AUS,2020,Small-scale solar PV,GWh,15719.282
AUS,2020,Total,GWh,265232.178
AUS,2020,Total non-renewable,GWh,200565.619
AUS,2020,Total renewable,GWh,64666.559
AUS,2020,Wind,GWh,22606.892
AUS,2021,Bioenergy,GWh,3256.095
AUS,2021,Black coal,GWh,103869.514
AUS,2021,Brown coal,GWh,33478.889
AUS,2021,Geothermal,GWh,0
AUS,2021,Hydro,GWh,16469.694
AUS,2021,Large-scale solar PV,GWh,11037.793
AUS,2021,Natural gas,GWh,47835.666
AUS,2021,Oil products,GWh,4673.151
AUS,2021,Small-scale solar PV,GWh,20223.098
AUS,2021,Total,GWh,267657.837
AUS,2021,Total non-renewable,GWh,189857.219
AUS,2021,Total renewable,GWh,77800.618
AUS,2021,Wind,GWh,26813.938
AUS,2022,Bioenergy,GWh,3101.643
AUS,2022,Black coal,GWh,97540.483
AUS,2022,Brown coal,GWh,31410.665
AUS,2022,Geothermal,GWh,0
AUS,2022,Hydro,GWh,17379.09
AUS,2022,Large-scale solar PV,GWh,14038.546
AUS,2022,Natural gas,GWh,51504.94
AUS,2022,Oil products,GWh,4600.857
AUS,2022,Small-scale solar PV,GWh,23878.935
AUS,2022,Total,GWh,273265.061
AUS,2022,Total non-renewable,GWh,185056.945
AUS,2022,Total renewable,GWh,88208.116
AUS,2022,Wind,GWh,29809.901
NSW,2015,Biomass,GWh,1027.223
NSW,2015,Black coal,GWh,54528.233
NSW,2015,Brown coal,GWh,
NSW,2015,Geothermal,GWh,
NSW,2015,Hydro,GWh,2145.24
NSW,2015,Large-scale solar PV,GWh,228.215
NSW,2015,Natural gas,GWh,4929.714
