Jurisdiction,Year,Fuel,Unit,Quantity
AUS,1989-90,"Bagasse, wood",GWh,750
AUS,1989-90,Biogas,GWh,
AUS,1989-90,Black coal,GWh,87573
AUS,1989-90,Brown coal,GWh,33594
AUS,1989-90,Geothermal,GWh,
AUS,1989-90,Hydro,GWh,14880
AUS,1989-90,Large-scale solar PV,GWh,
AUS,1989-90,Natural gas,GWh,14359
AUS,1989-90,Oil products,GWh,3552
AUS,1989-90,Other,GWh,
AUS,1989-90,Small-scale solar PV,GWh,
AUS,1989-90,Total,GWh,154708
AUS,1989-90,Total non-renewable,GWh,139078
AUS,1989-90,Total renewable,GWh,15630
AUS,1989-90,Wind,GWh,
AUS,1990-91,"Bagasse, wood",GWh,769
AUS,1990-91,Biogas,GWh,
AUS,1990-91,Black coal,GWh,89511
AUS,1990-91,Brown coal,GWh,36048
AUS,1990-91,Geothermal,GWh,
AUS,1990-91,Hydro,GWh,16103
AUS,1990-91,Large-scale solar PV,GWh,
AUS,1990-91,Natural gas,GWh,10772
AUS,1990-91,Oil products,GWh,3396
AUS,1990-91,Other,GWh,
AUS,1990-91,Small-scale solar PV,GWh,
AUS,1990-91,Total,GWh,156599
AUS,1990-91,Total non-renewable,GWh,139727
AUS,1990-91,Total renewable,GWh,16872
AUS,1990-91,Wind,GWh,
AUS,1991-92,"Bagasse, wood",GWh,670
AUS,1991-92,Biogas,GWh,
AUS,1991-92,Black coal,GWh,94325.1
AUS,1991-92,Brown coal,GWh,34559
AUS,1991-92,Geothermal,GWh,
AUS,1991-92,Hydro,GWh,15768
AUS,1991-92,Large-scale solar PV,GWh,
AUS,1991-92,Natural gas,GWh,11633
AUS,1991-92,Oil products,GWh,2362
AUS,1991-92,Other,GWh,
AUS,1991-92,Small-scale solar PV,GWh,10.9
AUS,1991-92,Total,GWh,159328
AUS,1991-92,Total non-renewable,GWh,142879.1
AUS,1991-92,Total renewable,GWh,16448.9
AUS,1991-92,Wind,GWh,
AUS,1992-93,"Bagasse, wood",GWh,670
AUS,1992-93,Biogas,GWh,
AUS,1992-93,Black coal,GWh,97872.7
AUS,1992-93,Brown coal,GWh,33248
AUS,1992-93,Geothermal,GWh,
AUS,1992-93,Hydro,GWh,16953
AUS,1992-93,Large-scale solar PV,GWh,
