quarter,electricity_price
2015-01-01,42.75
2015-04-01,46.75
2015-07-01,50.75
2015-10-01,54.75
2016-01-01,58.75
2016-04-01,68.0625
2016-07-01,77.375
2016-10-01,86.6875
2017-01-01,96.0
2017-04-01,95.0
2017-07-01,94.0
2017-10-01,93.0
2018-01-01,92.0
2018-04-01,95.6875
2018-07-01,99.375
2018-10-01,103.0625
2019-01-01,106.75
2019-04-01,98.3125
2019-07-01,89.875
2019-10-01,81.4375
2020-01-01,73.0
2020-04-01,69.875
2020-07-01,66.75
2020-10-01,63.625
2021-01-01,60.5
2021-04-01,79.8125
2021-07-01,99.125
2021-10-01,118.4375
2022-01-01,137.75
2022-04-01,139.4375
2022-07-01,141.125
2022-10-01,142.8125
2023-01-01,144.5
