quarter,Hydro,Large-scale solar PV,Small-scale solar PV,Wind,total_renewable
2010-01-01,13548.7,,424.9,5051.7,19025.3
2010-04-01,14363.2,,701.275,5310.0,20374.475
2010-07-01,15177.7,,977.65,5568.299999999999,21723.65
2010-10-01,15992.2,,1254.025,5826.599999999999,23072.825
2011-01-01,16806.7,,1530.4,6084.9,24422.0
2011-04-01,16125.85,,1787.475,6306.099999999999,24219.425
2011-07-01,15445.0,,2044.55,6527.299999999999,24016.85
2011-10-01,14764.15,,2301.625,6748.5,23814.275
2012-01-01,14083.3,,2558.7,6969.7,23611.7
2012-04-01,15129.875,,2875.6,7217.175,25222.649999999998
2012-07-01,16176.449999999999,,3192.5,7464.65,26833.6
2012-10-01,17223.024999999998,,3509.4,7712.125,28444.55
2013-01-01,18269.6,,3826.3,7959.6,30055.5
2013-04-01,18307.425,,3961.29425,8532.68425,30801.4035
2013-07-01,18345.25,,4096.288500000001,9105.7685,31547.307
2013-10-01,18383.075,,4231.28275,9678.85275,32293.2105
2014-01-01,18420.9,49.678,4366.277,10251.937,33088.792
2014-04-01,17176.925000000003,64.06375,4630.736,10555.578,32427.302750000003
2014-07-01,15932.95,78.4495,4895.195,10859.219000000001,31765.8135
2014-10-01,14688.975,92.83525,5159.654,11162.86,31104.32425
2015-01-01,13445.0,107.221,5424.113,11466.501,30442.835
2015-04-01,13913.295,194.71875,5663.347,11649.7505,31421.11125
2015-07-01,14381.59,282.2165,5902.581,11833.0,32399.3875
2015-10-01,14849.885,369.71425,6141.8150000000005,12016.2495,33377.66375
2016-01-01,15318.18,457.212,6381.049,12199.499,34355.94
2016-04-01,15559.8565,511.00825,6635.6015,12298.87075,35005.337
2016-07-01,15801.533,564.8045,6890.154,12398.2425,35654.734
2016-10-01,16043.2095,618.6007500000001,7144.7065,12497.61425,36304.131
2017-01-01,16284.886,672.397,7399.259,12596.986,36953.528000000006
2017-04-01,16218.86175,756.19325,7780.034,13241.346000000001,37996.435
2017-07-01,16152.837500000001,839.9895,8160.809,13885.706,39039.342000000004
2017-10-01,16086.813250000001,923.78575,8541.584,14530.065999999999,40082.249
2018-01-01,16020.789,1007.582,8922.359,15174.426,41125.156
2018-04-01,16007.412,1688.7765,9470.810000000001,15808.80725,42975.80575
2018-07-01,15994.035,2369.971,10019.261,16443.1885,44826.4555
2018-10-01,15980.658000000001,3051.1655,10567.712,17077.569750000002,46677.10525000001
2019-01-01,15967.281,3732.36,11116.163,17711.951,48527.755000000005
2019-04-01,15762.869,4583.29675,11811.394250000001,18382.9345,50540.4945
2019-07-01,15558.457,5434.2335,12506.6255,19053.917999999998,52553.234
2019-10-01,15354.045,6285.17025,13201.856749999999,19724.9015,54565.9735
2020-01-01,15149.633,7136.107,13897.088,20395.885,56578.71299999999
2020-04-01,15162.14675,7761.552,14942.581999999999,21430.755999999998,59297.03675
2020-07-01,15174.6605,8386.997,15988.076,22465.627,62015.3605
2020-10-01,15187.17425,9012.442000000001,17033.57,23500.498,64733.68425
2021-01-01,15199.688,9637.887,18079.064,24535.369,67452.008
2021-04-01,15652.48875,10370.70925,19088.660499999998,25678.475,70790.33350000001
2021-07-01,16105.289499999999,11103.531500000001,20098.256999999998,26821.581,74128.65899999999
2021-10-01,16558.09025,11836.35375,21107.8535,27964.687,77466.9845
2022-01-01,17010.891,12569.176,22117.45,29107.793,80805.31
